Departement;id_etablissement;v_RATVD204;v_RATVD304;v_RATVD404;v_RATVD504;v_RMTVD201;v_RMTVD301;v_RMTVD401;v_RMTVD501;v_RTTVD202;v_RTTVD302;v_RTTVD402;v_RTTVD502;c_RATVD204;c_RATVD304;c_RATVD404;c_RATVD504;c_RMTVD201;c_RMTVD301;c_RMTVD401;c_RMTVD501;c_RTTVD202;c_RTTVD302;c_RTTVD402;c_RTTVD502
1;9958319;;;;;57286491;3002672;4791615;5215630;;;;;;;;;14;14;14;14;;;;
13;10105207;37935;;;;;;;;;;;;1;;;;;;;;;;;
13;10182856;;;;;2195115;336;2141903;19714;;;;;;;;;13;1;11;3;;;;
13;9276415;;;;;164271;;49917;97306;;;;;;;;;12;;8;12;;;;
13;9356992;;;;;751669;;11122;;;;;;;;;;13;;13;;;;;
2;9024389;;;;;5314442;16457;4673393;498048;;;;;;;;;12;8;12;12;;;;
21;10898630;;;;;1230675;;63250;585525;;;;;;;;;12;;7;11;;;;
22;10988240;;;;;89458;;;;;;;;;;;;2;;;;;;;
3;18787892;477460;;68232;;;;;;;;;;1;;1;;;;;;;;;
31;10326587;;;;;14074;206;;;;;;;;;;;8;1;;;;;;
34;8362759;;;;;33860;;;;;;;;;;;;15;;;;;;;
35;11156884;;;;;1575566;2809;;1132491;;;;;;;;;12;3;;12;;;;
37;9174073;46874;;;;;;;;;;;;2;;;;;;;;;;;
38;9006960;;;;;8181507;18703;314285;175133;;;;;;;;;14;7;14;13;;;;
44;9451309;;;;;38503;315;;;;;;;;;;;8;1;;;;;;
44;9949557;;;;;8600;;;;;;;;;;;;2;;;;;;;
49;10000249;;;;;8373747;159003;223475;918269;;;;;;;;;12;12;12;11;;;;
51;10578741;;;;;;;;;188042;;;;;;;;;;;;6;;;
51;8608502;;;;;255019;;5222;;;;;;;;;;5;;5;;;;;
51;9163121;;;;;2671810;;382539;92132;;;;;;;;;12;;12;12;;;;
59;11095001;;;;;70055;;;;;;;;;;;;1;;;;;;;
59;11401723;344344;;58613;248985;;;;;;;;;1;;1;1;;;;;;;;
59;9235754;;;;;7330358;15123;516818;45611;;;;;;;;;13;7;5;9;;;;
60;8380123;;;;;4748303;73442;90770;;;;;;;;;;13;9;4;;;;;
61;10897944;;;;;209203;;;;;;;;;;;;6;;;;;;;
63;10575448;;;;;3001038;2762;193486;6567;;;;;;;;;12;4;10;2;;;;
63;11645395;;;;;3932646;28674;989289;925968;;;;;;;;;4;4;4;4;;;;
67;10786133;;;;;9718;;;;;;;;;;;;3;;;;;;;
67;8407801;;;;;164197;518;;;;;;;;;;;7;1;;;;;;
67;8750649;;;;;80745;;;;;;;;;;;;13;;;;;;;
67;9599558;;;;;37828;;;;;;;;;;;;8;;;;;;;
67;9787469;10952;;;;;;;;;;;;1;;;;;;;;;;;
68;9172701;;;;;769177;16;;;;;;;;;;;13;1;;;;;;
69;10269529;;;;;217226;;63267;33704;;;;;;;;;12;;11;9;;;;
69;10289427;;;;;1545109;10373;97310;431115;;;;;;;;;13;7;11;12;;;;
69;10668688;;;;;680752;;;;;;;;;;;;9;;;;;;;
69;11346184;;;;;948534;197;;5250;;;;;;;;;12;1;;5;;;;
69;9629453;;;;;2550637;4004;27110;33184;;;;;;;;;13;6;6;5;;;;
75;10024676;;;;;4775650;;223228;204739;;;;;;;;;13;;10;10;;;;
75;10455288;;;;;1535496;3275;;;;;;;;;;;14;4;;;;;;
75;11204256;102500;282;;;;;;;;;;;1;1;;;;;;;;;;
75;11473545;;;;;;;;;;1770;;;;;;;;;;;;3;;
75;8697606;;;;;;900;;;;;;;;;;;;2;;;;;;
75;9143683;;;;;37531252;6693;3276025;505987;;;;;;;;;14;6;10;14;;;;
75;9853584;;;;;745380;296;;58698;;;;;;;;;9;2;;2;;;;
75;9889082;;;;;490000;;;;;;;;;;;;11;;;;;;;
77;11236009;;;;;;;;;15825;433;15825;;;;;;;;;;2;1;2;
83;8794281;;;;;;;;;112500;206;;112500;;;;;;;;;5;1;;5
84;10521675;;;;;1432333;52;651648;407000;;;;;;;;;11;1;9;7;;;;
84;10694324;;;;;121316;714;1595;;;;;;;;;;12;1;5;;;;;
9;10212548;;;;;;;;;62577;;;;;;;;;;;;2;;;
92;10882093;;;;;12641874;18325;;;;;;;;;;;13;10;;;;;;
95;8665472;;;;;;4524;;;;;;;;;;;;1;;;;;;
97;9221817;;;;;2403831;427;102318;;;;;;;;;;5;1;5;;;;;
